ariadna,dmc,anchor,madeira
1500,B5200,1,2101
1500A,BLANC,2,2402
1501,10,259,111
1502,445,288,103
1503,307,289,104
1504,307,290,104
1505,973,297,105
1506,726,298,106
1507,746,275,101
1508,745,301,112
1509,744,305,109
1510,972,303,107
1511,3853,304,203
1512,3078,292,112
1513,727,295,109
1514,725,302,113
1515,742,303,2513
1516,741,304,203
1517,740,316,202
1518,3341,323,301
1519,3340,330,311
1520,946,332,308
1521,608,332,206
1522,947,332,207
1523,970,925,204
1524,3823,386,2511
1525,951,1010,2014
1526,3856,924,2013
1526A,3825,1047,2307
1527,722,1003,307
1528,721,326,308
1529,720,326,309
1530,920,340,313
1531,3855,361,2013
1532,3854,1047,2301
1533,402,347,2301
1534,3776,1048,310
1535,920,1004,2306
1535A,819,271,501
1536,353,8,304
1537,20,6,2313
1538,352,9,303
1539,3712,1023,405
1540,350,335,214
1541,3801,334,411
1542,817,13,211
1543,963,49,608
1544,3779,36,304
1545,3706,33,408
1546,3705,35,213
1547,349,1098,210
1548,666,1098,211
1549,151,24,607
1550,894,26,408
1551,893,28,409
1552,891,29,410
1553,351,1025,411
1554,321,13,510
1555,304,1006,508
1555A,761,1021,404
1555B,760,1022,405
1555C,347,1025,406
1556,816,20,512
1557,815,22,513
1558,3326,31,408
1559,961,27,413
1560,601,63,507
1561,326,1006,511
1562,956,28,410
1563,3831,39,603
1564,3354,75,606
1565,3833,1024,506
1565A,3832,39,406
1566,777,43,602
1566A,604,1094,614
1567,3805,62,701
1568,3804,63,701
1569,600,59,702
1569A,962,75,414
1570,3687,76,604
1571,3803,69,2609
1572,3685,70,514
1573,902,72,2607
1574,3721,1027,812
1575,3689,1016,808
1576,223,1018,809
1577,3722,1019,812
1577A,23,271,501
1578,3727,969,2610
1579,316,1017,809
1579A,3802,70,811
1580,3041,872,2614
1580A,25,342,801
1581,3743,869,2611
1582,3042,870,807
1583,3740,873,2614
1584,154,873,714
1585,3834,100,805
1585A,3835,100,805
1586,3836,90,711
1587,153,342,801
1587A,24,342,801
1588,3837,112,2710
1588A,554,97,803
1588B,211,108,802
1589,550,102,2709
1590,552,101,713
1591,553,99,712
1592,209,97,711
1593,153,95,710
1594,34,100,2714
1595,33,99,712
1596,33,98,708
1597,3608,96,710
1598,3609,85,2712
1598A,35,72,705
1599,917,89,706
1600,3607,87,708
1601,3608,86,2713
1602,3609,85,710
1603,3609,103,2712
1604,30,109,902
1605,333,941,903
1606,791,178,904
1607,26,108,901
1608,31,118,902
1608A,32,122,903
1608B,793,121,902
1608C,3838,137,2702
1609,3807,941,2702
1610,162,158,2504
1611,827,160,907
1612,995,410,1102
1613,824,143,912
1614,809,140,909
1615,322,145,910
1616,334,161,1103
1617,517,162,911
1618,311,164,1010
1619,996,1090,1103
1620,3843,1089,1103
1620A,995,410,1102
1621,3841,120,2504
1622,3840,117,909
1623,3839,121,910
1624,798,132,905
1625,820,134,914
1626,939,150,1009
1626A,159,117,901
1626B,161,122,2702
1627,823,127,1008
1628,798,131,911
1629,803,148,1006
1630,823,152,2701
1630A,3756,1037,2504
1631,3753,1032,1001
1632,3752,1033,1710
1633,3768,1034,1712
1634,932,939,1710
1634A,415,1096,1708
1635,318,235,1802
1635A,414,235,1801
1635B,168,1096,1708
1635C,169,850,1707
1636,413,922,1712
1637,931,1034,1711
1638,930,851,1712
1638A,3750,1036,1007
1639,828,159,1014
1640,519,1033,1002
1641,597,1064,1110
1642,3810,168,2506
1643,3809,169,2506
1644,3808,1068,2505
1644A,3072,847,1001
1645,928,847,1101
1646,927,848,1710
1647,926,850,1707
1648,3768,921,1712
1649,924,851,1706
1650,3811,1092,1104
1651,3761,928,1014
1652,3766,167,1105
1653,3846,168,1009
1654,3845,168,1108
1655,3844,169,2506
1656,928,1092,1208
1657,964,185,1113
1657A,3847,879,2705
1658,3814,1074,2706
1659,3849,1070,1201
1660,959,186,1202
1661,3812,188,1114
1662,991,189,2705
1663,966,1042,1210
1664,954,203,1207
1664A,505,211,1206
1665,993,1070,1201
1666,992,1074,1203
1667,991,1076,1204
1668,991,218,2704
1669,3817,875,1701
1670,3816,875,1703
1671,3815,876,1704
1671A,561,878,1205
1672,367,218,1514
1673,320,215,1310
1674,500,683,1705
1675,772,1043,1309
1676,912,204,1207
1677,911,205,1213
1678,910,229,1303
1679,164,240,1209
1680,702,225,1307
1681,701,243,1305
1682,699,923,1304
1683,10,259,1414
1684,704,265,1308
1685,988,267,1402
1686,3347,258,1407
1686A,989,242,1310
1686B,987,244,1311
1687,700,245,1403
1688,986,246,1312
1689,890,1044,1314
1690,165,259,1414
1691,3348,264,1409
1691A,469,267,1608
1691B,11,253,103
1691C,3819,254,2703
1691D,166,255,1609
1692,581,266,1502
1693,937,268,1504
1694,3051,269,1508
1695,165,259,111
1696,12,254,2703
1697,16,254,2703
1698,907,255,1308
1698A,14,1043,1309
1699,704,238,1307
1700,905,257,1407
1701,904,258,1407
1702,10,259,1604
1703,3013,260,1511
1704,3053,858,1512
1704A,520,263,1514
1705,3364,859,1509
1706,469,844,1507
1707,935,862,1505
1708,10,259,1414
1709,18,278,1610
1710,734,280,1606
1711,732,281,1612
1712,730,924,1608
1713,936,846,1508
1714,934,862,1505
1714A,3047,256,2205
1714B,372,853,2110
1714C,370,854,2110
1715,833,888,2110
1716,832,281,1612
1717,3012,845,1612
1718,830,846,1614
1719,3046,887,2110
1720,677,295,2205
1721,3822,874,1610
1721A,3821,874,2509
1722,833,874,2202
1723,3829,888,2202
1724,869,889,2112
1725,869,277,2105
1725A,676,301,2208
1726,3820,874,2203
1727,729,306,2203
1728,3828,888,2111
1729,167,889,2201
1730,677,300,2512
1730A,437,368,2210
1731,869,375,2105
1732,898,906,2106
1733,3371,381,2003
1734,918,1014,314
1735,3855,311,2208
1736,3854,313,2307
1737,3853,1003,2302
1738,921,1004,2306
1739,977,1002,2301
1740,3826,1049,2302
1741,301,349,2306
1742,400,355,2303
1743,975,351,2304
1744,3857,352,2602
1745,948,271,2314
1746,3774,376,1909
1747,225,893,2605
1748,152,894,2312
1749,356,895,2310
1750,3858,896,401
1751,221,897,2501
1751A,3858,1019,810
1752,3859,914,2310
1753,945,880,2308
1754,3779,4146,2309
1755,758,868,2312
1756,3778,1013,2310
1757,3830,5975,402
1758,22,1014,401
1759,3777,1015,2502
1760,3328,11,402
1761,21,1013,2312
1762,779,1050,1913
1762A,3860,1086,1913
1763,451,1084,1807
1763A,3861,1084,1912
1764,452,1080,1806
1765,3770,1009,2404
1766,945,367,1910
1767,945,367,1910
1768,3771,368,2102
1769,3064,914,2601
1770,407,1007,1912
1771,3772,1007,1913
1772,632,358,2311
1773,779,939,1913
1774,838,380,2005
1775,712,1009,2404
1776,739,387,2014
1777,738,956,2109
1778,3828,372,2108
1779,435,369,2010
1780,434,370,2009
1781,433,355,2008
1782,938,380,2006
1782A,3863,1084,1912
1782B,543,933,1909
1783,3861,378,1911
1784,801,358,2106
1785,779,360,1914
1786,3371,382,2004
1787,613,830,1814
1788,612,832,2111
1789,610,898,2107
1790,ECRU,926,2404
1791,3033,391,1901
1792,3032,392,1903
1793,3790,393,1905
1794,839,905,2003
1794A,8,904,1904
1794B,3790,903,1905
1795,945,387,2001
1796,644,391,1814
1797,642,392,1813
1798,640,392,1813
1799,3787,393,1811
1800,3021,273,1506
1801,822,391,1901
1801A,3023,1040,1813
1802,647,1040,1512
1803,640,8581,1509
1804,3022,8581,1510
1805,3866,390,2001
1806,6,388,1803
1807,7,392,1903
1808,844,273,1811
1809,5,231,1804
1810,06,231,1803
1811,648,399,1812
1812,645,273,1811
1813,1,234,1805
1814,05,231,1803
1815,648,399,1802
1816,4,235,1714
1817,535,400,1714
1818,3799,401,1713
1819,310,403,2400
