brand,code,name,hex
Ariadna,1500,,#FFFFF6
Ariadna,1500A,,#F7F4F0
Ariadna,1501,,#F4F4CD
Ariadna,1502,,#F7FFC1
Ariadna,1503,,#FBFF97
Ariadna,1504,,#FFF35D
Ariadna,1505,,#FBDD54
Ariadna,1506,,#EEC64D
Ariadna,1507,,#FFFFF2
Ariadna,1508,,#FCF8E1
Ariadna,1509,,#FCE8A6
Ariadna,1510,,#E8BC6B
Ariadna,1511,,#DA994D
Ariadna,1512,,#EDE3B0
Ariadna,1513,,#F9F2BD
Ariadna,1514,,#FCE8A6
Ariadna,1515,,#F8DF99
Ariadna,1516,,#DE9858
Ariadna,1517,,#CD794B
Ariadna,1518,,#D7997C
Ariadna,1519,,#D18662
Ariadna,1520,,#D2745A
Ariadna,1521,,#D16D4F
Ariadna,1522,,#D8623B
Ariadna,1523,,#D67338
Ariadna,1524,,#FFFFEC
Ariadna,1525,,#FCF8E1
Ariadna,1526,,#F4ECD0
Ariadna,1526A,,#F3C399
Ariadna,1527,,#D57C45
Ariadna,1528,,#D46544
Ariadna,1529,,#D0503D
Ariadna,1530,,#98352A
Ariadna,1531,,#EBD198
Ariadna,1532,,#E1B894
Ariadna,1533,,#D2A87B
Ariadna,1534,,#A2694A
Ariadna,1535,,#9B4037
Ariadna,1535A,,#F7DEDA
Ariadna,1536,,#F5E3D4
Ariadna,1537,,#F2D0AF
Ariadna,1538,,#EDB496
Ariadna,1539,,#D1586A
Ariadna,1540,,#D9464D
Ariadna,1541,,#CA3440
Ariadna,1542,,#AE2B37
Ariadna,1543,,#FCF0EB
Ariadna,1544,,#DFA699
Ariadna,1545,,#DB687A
Ariadna,1546,,#D8415D
Ariadna,1547,,#982E38
Ariadna,1548,,#862631
Ariadna,1549,,#FAD4D9
Ariadna,1550,,#F5C5CB
Ariadna,1551,,#DF8896
Ariadna,1552,,#D97587
Ariadna,1553,,#893E26
Ariadna,1554,,#78311D
Ariadna,1555,,#6E2C1A
Ariadna,1555A,,#F1C3BD
Ariadna,1555B,,#DD948C
Ariadna,1555C,,#BD3F34
Ariadna,1556,,#692B1A
Ariadna,1557,,#652919
Ariadna,1558,,#DF8896
Ariadna,1559,,#D97587
Ariadna,1560,,#D03469
Ariadna,1561,,#A6223A
Ariadna,1562,,#CF3A55
Ariadna,1563,,#C22F54
Ariadna,1564,,#D68A95
Ariadna,1565,,#CD5D74
Ariadna,1565A,,#D56066
Ariadna,1566,,#8F223F
Ariadna,1566A,,#EAB2C0
Ariadna,1567,,#F5C5CB
Ariadna,1568,,#B74D72
Ariadna,1569,,#823163
Ariadna,1569A,,#EA9099
Ariadna,1570,,#9D3F62
Ariadna,1571,,#732F45
Ariadna,1572,,#662A3B
Ariadna,1573,,#4A1F2C
Ariadna,1574,,#A44C57
Ariadna,1575,,#F5D0D4
Ariadna,1576,,#C38B92
Ariadna,1577,,#8E5761
Ariadna,1577A,,#F9E9EB
Ariadna,1578,,#CB9198
Ariadna,1579,,#A25769
Ariadna,1579A,,#631F2B
Ariadna,1580,,#5E3E4C
Ariadna,1580A,,#F1ECEE
Ariadna,1581,,#B89D9F
Ariadna,1582,,#9F8187
Ariadna,1583,,#5C3647
Ariadna,1584,,#481F35
Ariadna,1585,,#5F2C4A
Ariadna,1585A,,#72385E
Ariadna,1586,,#A96E81
Ariadna,1587,,#C6A3AC
Ariadna,1587A,,#FAF8F8
Ariadna,1588,,#532F50
Ariadna,1588A,,#B38BA5
Ariadna,1588B,,#D4C0D0
Ariadna,1589,,#3E243F
Ariadna,1590,,#6D3A61
Ariadna,1591,,#733D65
Ariadna,1592,,#AC8399
Ariadna,1593,,#D3B7C3
Ariadna,1594,,#613052
Ariadna,1595,,#7B3962
Ariadna,1596,,#9C6681
Ariadna,1597,,#F1CBD0
Ariadna,1598,,#FFFAFB
Ariadna,1598A,,#961E4A
Ariadna,1599,,#823163
Ariadna,1600,,#9B587B
Ariadna,1601,,#E2B1C8
Ariadna,1602,,#EDC3D7
Ariadna,1603,,#FFF3FB
Ariadna,1604,,#9A8598
Ariadna,1605,,#513B62
Ariadna,1606,,#322540
Ariadna,1607,,#D9C7D5
Ariadna,1608,,#99819B
Ariadna,1608A,,#52618A
Ariadna,1608B,,#8789A1
Ariadna,1608C,,#615F81
Ariadna,1609,,#43365A
Ariadna,1610,,#D8E3E4
Ariadna,1611,,#A8D1DC
Ariadna,1612,,#378EAD
Ariadna,1613,,#346286
Ariadna,1614,,#B6BDC5
Ariadna,1615,,#91A4B3
Ariadna,1616,,#4E677B
Ariadna,1617,,#324B65
Ariadna,1618,,#2E415C
Ariadna,1619,,#58A5B8
Ariadna,1620,,#368AA4
Ariadna,1620A,,#296893
Ariadna,1621,,#CED5E5
Ariadna,1622,,#B5BAD4
Ariadna,1623,,#A1A0B9
Ariadna,1624,,#383960
Ariadna,1625,,#313054
Ariadna,1626,,#2E2C4C
Ariadna,1626A,,#BBB5BF
Ariadna,1626B,,#665E71
Ariadna,1627,,#292F5B
Ariadna,1628,,#2C3869
Ariadna,1629,,#354560
Ariadna,1630,,#3B394B
Ariadna,1630A,,#E8E6E9
Ariadna,1631,,#D2CFCD
Ariadna,1632,,#A8A8AD
Ariadna,1633,,#565F69
Ariadna,1634,,#93979E
Ariadna,1634A,,#D5CACE
Ariadna,1635,,#867A7F
Ariadna,1635A,,#93838C
Ariadna,1635B,,#CFC8C9
Ariadna,1635C,,#948D90
Ariadna,1636,,#41424B
Ariadna,1637,,#5C6E72
Ariadna,1638,,#2F343E
Ariadna,1638A,,#333A48
Ariadna,1639,,#DAE0DD
Ariadna,1640,,#9AACA9
Ariadna,1641,,#71908C
Ariadna,1642,,#66807D
Ariadna,1643,,#50575E
Ariadna,1644,,#33383E
Ariadna,1644A,,#D4CBC6
Ariadna,1645,,#C7C9C2
Ariadna,1646,,#A7A7A2
Ariadna,1647,,#6A6F70
Ariadna,1648,,#44515A
Ariadna,1649,,#394044
Ariadna,1650,,#F7FDFE
Ariadna,1651,,#D5E7E3
Ariadna,1652,,#78C2B9
Ariadna,1653,,#2E988F
Ariadna,1654,,#2E7A75
Ariadna,1655,,#359DAF
Ariadna,1656,,#E8F6F1
Ariadna,1657,,#8BAB9E
Ariadna,1657A,,#204937
Ariadna,1658,,#447664
Ariadna,1659,,#79A493
Ariadna,1660,,#709280
Ariadna,1661,,#447159
Ariadna,1662,,#3D614F
Ariadna,1663,,#DBE4D2
Ariadna,1664,,#83A375
Ariadna,1664A,,#3B6745
Ariadna,1665,,#76A691
Ariadna,1666,,#3E7657
Ariadna,1667,,#2B5443
Ariadna,1668,,#264437
Ariadna,1669,,#91A28F
Ariadna,1670,,#698172
Ariadna,1671,,#4E6658
Ariadna,1671A,,#224A32
Ariadna,1672,,#465A4F
Ariadna,1673,,#65795C
Ariadna,1674,,#343B37
Ariadna,1675,,#D5D3B4
Ariadna,1676,,#6F9D78
Ariadna,1677,,#5C7F63
Ariadna,1678,,#36563C
Ariadna,1679,,#BFCEA9
Ariadna,1680,,#779163
Ariadna,1681,,#4B6938
Ariadna,1682,,#3C502C
Ariadna,1683,,#CED59D
Ariadna,1684,,#879669
Ariadna,1685,,#666E42
Ariadna,1686,,#525F38
Ariadna,1686A,,#738D58
Ariadna,1686B,,#456A44
Ariadna,1687,,#445A34
Ariadna,1688,,#394D2E
Ariadna,1689,,#2E3D25
Ariadna,1690,,#DEDDB3
Ariadna,1691,,#90966B
