brand,code,name,hex
DMC,3713,Salmon Very Light,#FFE2E2
DMC,761,Salmon Light,#FFC9C9
DMC,760,Salmon,#F5ADAD
DMC,3712,Salmon Medium,#F18787
DMC,3328,Salmon Dark,#E36D6D
DMC,347,Salmon Very Dark,#BF2D2D
DMC,353,Peach,#FED7CC
DMC,352,Coral Light,#FD9C97
DMC,351,Coral,#E96A67
DMC,350,Coral Medium,#E04848
DMC,349,Coral Dark,#D21035
DMC,817,Coral Red Very Dark,#BB051F
DMC,3708,Melon Light,#FFCBD5
DMC,3706,Melon Medium,#FFADBC
DMC,3705,Melon Dark,#FF7992
DMC,3801,Melon Very Dark,#E74967
DMC,666,Bright Red,#E31D42
DMC,321,Red,#C72B3B
DMC,304,Red Medium,#B71F33
DMC,498,Red Dark,#A7132B
DMC,816,Garnet,#970B23
DMC,815,Garnet Medium,#87071F
DMC,814,Garnet Dark,#7B001B
DMC,894,Carnation Very Light,#FFB2BB
DMC,893,Carnation Light,#FC90A2
DMC,892,Carnation Medium,#FF798C
DMC,891,Carnation Dark,#FF5773
DMC,818,Baby Pink,#FFDFD9
DMC,957,Geranium Pale,#FDB5B5
DMC,956,Geranium,#FF9191
DMC,309,Rose Dark,#BA4A4A
DMC,963,Dusty Rose Ultra Very Light,#FFD7D7
DMC,3716,Dusty Rose Medium Very Light,#FFBDBD
DMC,962,Dusty Rose Medium,#E68A8A
DMC,961,Dusty Rose Dark,#CF7373
DMC,3833,Raspberry Light,#EA8699
DMC,3832,Raspberry Medium,#DB556E
DMC,3831,Raspberry Dark,#B32F48
DMC,777,Raspberry Very Dark,#913546
DMC,819,Baby Pink Light,#FFEEEB
DMC,3326,Rose Light,#FBADB4
DMC,776,Pink Medium,#FCB0B9
DMC,899,Rose Medium,#F27688
DMC,335,Rose,#EE546E
DMC,326,Rose Very Dark,#B33B4B
DMC,151,Dusty Rose Very Light,#F0CED4
DMC,3354,Dusty Rose Light,#E4A6AC
DMC,3733,Dusty Rose,#E8879B
DMC,3731,Dusty Rose Very Dark,#DA6783
DMC,3350,Dusty Rose Ultra Dark,#BC4365
DMC,150,Dusty Rose Ultra Very Dark,#AB0249
DMC,3689,Mauve Light,#FBBFC2
DMC,3688,Mauve Medium,#E7A9AC
DMC,3687,Mauve,#C96B70
DMC,3803,Mauve Dark,#AB3357
DMC,3685,Mauve Very Dark,#881531
DMC,605,Cranberry Very Light,#FFC0CD
DMC,604,Cranberry Light,#FFB0BE
DMC,603,Cranberry,#FFA4BE
DMC,602,Cranberry Medium,#E24874
DMC,601,Cranberry Dark,#D1286A
DMC,600,Cranberry Very Dark,#CD2F63
DMC,3806,Cyclamen Pink Light,#FF8CAE
DMC,3805,Cyclamen Pink,#F3478B
DMC,3804,Cyclamen Pink Dark,#E02876
DMC,3609,Plum Ultra Light,#F4AED7
DMC,3608,Plum Very Light,#EA9CC4
DMC,3607,Plum Light,#C54989
DMC,718,Plum,#9C2462
DMC,917,Plum Medium,#9B1359
DMC,915,Plum Dark,#820043
DMC,225,Shell Pink Ultra Very Light,#FFDFD7
DMC,224,Shell Pink Very Light,#EBB7AF
DMC,152,Shell Pink Medium Light,#E2A099
DMC,223,Shell Pink Light,#CC847C
DMC,3722,Shell Pink Medium,#BC6C64
DMC,3721,Shell Pink Dark,#A14B51
DMC,221,Shell Pink Very Dark,#883E43
DMC,778,Antique Mauve Very Light,#DFB3BB
DMC,3727,Antique Mauve Light,#DBA9B2
DMC,316,Antique Mauve Medium,#B7737F
DMC,3726,Antique Mauve Dark,#9B5B66
DMC,315,Antique Mauve Medium Dark,#814952
DMC,3802,Antique Mauve Very Darkv,#714149
DMC,902,Garnet Very Dark,#822637
DMC,3743,Antique Violet Very Light,#D7CBD3
DMC,3042,Antique Violet Light,#B79DA7
DMC,3041,Antique Violet Medium,#956F7C
DMC,3740,Antique Violet Dark,#785762
DMC,3836,Grape Light,#BA91AA
DMC,3835,Grape Medium,#946083
DMC,3834,Grape Dark,#72375D
DMC,154,Grape Very Dark,#572433
DMC,211,Lavender Light,#E3CBE3
DMC,210,Lavender Medium,#D29FC3
DMC,209,Lavender Dark,#A37BA7
DMC,208,Lavender Very Dark,#835B8B
DMC,3837,Lavender Ultra Dark,#6C3A6E
DMC,327,Violet Dark,#633666
DMC,153,Violet Very Light,#E6CCD9
DMC,554,Violet Light,#DBB3CB
DMC,553,Violet,#A3638B
DMC,552,Violet  Medium,#803A6B
DMC,550,Violet Very Dark,#5C184E
DMC,3747,Blue Violet Very Light,#D3D7ED
DMC,341,Blue Violet Light,#B7BFDD
DMC,156,Blue Violet Medium Light,#A3AED1
DMC,340,Blue Violet Medium,#ADA7C7
DMC,155,Blue Violet Medium Dark,#9891B6
DMC,3746,Blue Violet Dark,#776B98
DMC,333,Blue Violet Very Dark,#5C5478
DMC,157,Cornflower Blue Very Light,#BBC3D9
DMC,794,Cornflower Blue Light,#8F9CC1
DMC,793,Cornflower Blue Medium,#707DA2
DMC,3807,Cornflower Blue,#60678C
DMC,792,Cornflower Blue Dark,#555B7B
DMC,158,Cornflower Blue  Very Dark,#4C526E
DMC,791,Cornflower Blue Very Dark,#464563
DMC,3840,Lavender Blue Light,#B0C0DA
DMC,3839,Lavender Blue Medium,#7B8EAB
DMC,3838,Lavender Blue Dark,#5C7294
DMC,800,Delft Blue Pale,#C0CCDE
DMC,809,Delft Blue,#94A8C6
DMC,799,Delft Blue Medium,#748EB6
DMC,798,Delft Blue Dark,#466A8E
DMC,797,Royal Blue,#13477D
DMC,796,Royal Blue Dark,#11416D
